species,Genotype,species_type,variable,gmin,units,area
Glycine max,Ecuador 1,cultivated,near lethal,0.15,mm s-1,projected
Glycine max,Siatsa 194,cultivated,near lethal,0.15,mm s-1,projected
Glycine max,ISRA 44-A/73,cultivated,near lethal,0.09,mm s-1,projected
Glycine max,UFV-1,cultivated,near lethal,0.14,mm s-1,projected
Glycine max,G2120,cultivated,near lethal,0.11,mm s-1,projected
Glycine max,Mamloxi,cultivated,near lethal,0.1,mm s-1,projected
Glycine max,CPI 26671,cultivated,near lethal,NA,mm s-1,projected
Glycine max,S5,cultivated,near lethal,0.12,mm s-1,projected
Glycine max,CNS,cultivated,near lethal,NA,mm s-1,projected
Glycine max,B2H55F4/196,cultivated,near lethal,0.11,mm s-1,projected
Glycine max,3H55F4/88/1,cultivated,near lethal,NA,mm s-1,projected
Glycine max,Biloxi,cultivated,near lethal,0.1,mm s-1,projected
Glycine max,Kedele,cultivated,near lethal,0.21,mm s-1,projected
Glycine max,Fiskeby V,cultivated,near lethal,NA,mm s-1,projected
Glycine max,66-G-3,cultivated,near lethal,0.2,mm s-1,projected
Glycine max,No 29,cultivated,near lethal,0.1,mm s-1,projected
Glycine max,FF73,cultivated,near lethal,0.16,mm s-1,projected
Glycine max,SJ4,cultivated,near lethal,0.12,mm s-1,projected
Glycine max,Jupiter,cultivated,near lethal,0.11,mm s-1,projected
Glycine max,SJ1,cultivated,near lethal,0.07,mm s-1,projected
Glycine max,CPAC 46-76,cultivated,near lethal,0.14,mm s-1,projected
Glycine max,CPAC 527-76,cultivated,near lethal,0.12,mm s-1,projected
Glycine max,CPAC 453-76,cultivated,near lethal,0.17,mm s-1,projected
Glycine max,TGM 344,cultivated,near lethal,0.14,mm s-1,projected
Glycine max,TGX 307-057D,cultivated,near lethal,0.11,mm s-1,projected
Glycine max,TGX 332A-060,cultivated,near lethal,0.13,mm s-1,projected
Glycine max,TGX 356-063D,cultivated,near lethal,0.19,mm s-1,projected
Glycine max,BM,cultivated,near lethal,0.15,mm s-1,projected
Glycine max,DB1593,cultivated,near lethal,0.1,mm s-1,projected
Glycine max,Davis,cultivated,near lethal,0.12,mm s-1,projected
Glycine max,Santa Maria,cultivated,near lethal,0.12,mm s-1,projected
Glycine max,Ross,cultivated,near lethal,0.17,mm s-1,projected
Glycine max,Daintree,cultivated,near lethal,0.07,mm s-1,projected
Glycine max,K8,cultivated,near lethal,0.15,mm s-1,projected
Glycine max,Fitzroy,cultivated,near lethal,0.15,mm s-1,projected
Glycine max,P44,cultivated,near lethal,NA,mm s-1,projected
Glycine max,P46,cultivated,near lethal,0.07,mm s-1,projected
Glycine max,Buchanan,cultivated,near lethal,0.15,mm s-1,projected
Glycine max,R114,cultivated,near lethal,0.1,mm s-1,projected
Glycine max,R129,cultivated,near lethal,NA,mm s-1,projected
Glycine max,R23,cultivated,near lethal,0.11,mm s-1,projected
Glycine max,Canapolis,cultivated,near lethal,0.09,mm s-1,projected
Glycine max,UFV 72-1,cultivated,near lethal,0.16,mm s-1,projected
Glycine max,Valder,cultivated,near lethal,0.11,mm s-1,projected
Glycine max,Farrer,cultivated,near lethal,0.1,mm s-1,projected
Glycine max,Hill,cultivated,near lethal,0.1,mm s-1,projected
Glycine max,Manark,cultivated,near lethal,0.11,mm s-1,projected
Glycine max,A5939,cultivated,near lethal,0.11,mm s-1,projected
Glycine max,A14-37,cultivated,near lethal,NA,mm s-1,projected
Glycine max,Wills,cultivated,near lethal,0.13,mm s-1,projected
Glycine max,NN Clark 63,cultivated,near lethal,0.13,mm s-1,projected
Glycine max,IAC-L-131,cultivated,near lethal,0.2,mm s-1,projected
Glycine max,Bragg,cultivated,near lethal,0.1,mm s-1,projected
Glycine soja,G8,wild,near lethal,0.13,mm s-1,projected
Glycine soja,CPI 96905,wild,near lethal,0.12,mm s-1,projected
Glycine latifolia,ACC 521,wild,near lethal,0.12,mm s-1,projected
Glycine tomentella,ACC 547,wild,near lethal,0.29,mm s-1,projected
Glycine canescens,ACC 548,wild,near lethal,0.32,mm s-1,projected
Glycine canescens,ACC 590,wild,near lethal,0.1,mm s-1,projected
Glycine tabacina,ACC 549,wild,near lethal,0.1,mm s-1,projected
Glycine tabacina,ACC 563,wild,near lethal,0.2,mm s-1,projected
Glycine clandestina,ACC 554,wild,near lethal,0.2,mm s-1,projected
Glycine tabacina,ACC 574,wild,near lethal,0.29,mm s-1,projected
Glycine argyrea,ACC 578,wild,near lethal,0.16,mm s-1,projected
