code,species,population,treatment,transpiration,lma,gmin,area,units
268,hakea cinerea,scaddan,w,0.144484087,139.764154,6.620134364,projected,mmol m-2 s-1
277,hakea leucoptera,wilcannia,d,0.087355731,459.3317797,2.401537849,projected,mmol m-2 s-1
278,hakea leucoptera,wilcannia,d,0.098565533,499.2256325,2.709711839,projected,mmol m-2 s-1
280,hakea dactyloides,blue mountains,w,0.05045168,153.6977,2.773982154,projected,mmol m-2 s-1
286,hakea leucoptera,binya,d,0.089656528,414.7402298,3.286386887,projected,mmol m-2 s-1
287,hakea leucoptera,binya,d,0.121458875,523.6698663,4.452111438,projected,mmol m-2 s-1
291,hakea leucoptera,binya,d,0.409524541,664.7400098,5.629216765,projected,mmol m-2 s-1
292,hakea salicifolia,saligna,d,0.072369589,130.2236146,3.979093418,projected,mmol m-2 s-1
293,hakea salicifolia,saligna,d,0.103084155,134.4410964,3.148817139,projected,mmol m-2 s-1
295,hakea leucoptera,mildura,d,0.075662447,523.3259,2.080072241,projected,mmol m-2 s-1
301,hakea elliptica,albany,w,0.098134275,130.5761702,4.496426562,projected,mmol m-2 s-1
307,hakea teretifolia,blue mountains,d,0.105463075,344.6606948,4.460516071,projected,mmol m-2 s-1
314,hakea cinerea,scaddan,w,0.17284414,157.2031,7.919567126,projected,mmol m-2 s-1
318,hakea teretifolia,blue mountains,d,0.152322359,452.3695479,5.234457824,projected,mmol m-2 s-1
326,hakea dactyloides,blue mountains,w,0.056034235,154.3773783,3.080927514,projected,mmol m-2 s-1
335,hakea leucoptera,binya,w,1.861840224,627.3656817,9.306315135,projected,mmol m-2 s-1
339,hakea salicifolia,saligna,w,0.142125521,141.7157735,7.814480303,projected,mmol m-2 s-1
347,hakea elliptica,albany,d,0.046739665,116.3447335,2.141570535,projected,mmol m-2 s-1
348,hakea elliptica,albany,d,0.038964756,117.236699,1.785331016,projected,mmol m-2 s-1
356,hakea teretifolia,blue mountains,w,0.366589664,518.3636954,6.718726966,projected,mmol m-2 s-1
358,hakea prostrata,west,d,0.092791978,189.2653029,2.550988315,projected,mmol m-2 s-1
360,hakea cinerea,scaddan,w,0.197085841,204.4087322,7.740257691,projected,mmol m-2 s-1
361,hakea varia,wanneroo,w,0.258870834,213.2460705,7.116740957,projected,mmol m-2 s-1
362,hakea varia,wanneroo,w,0.498856743,241.3369211,7.83674714,projected,mmol m-2 s-1
363,hakea dactyloides,woodford,w,0.043121778,138.2674,2.370962505,projected,mmol m-2 s-1
364,hakea teretifolia,blue mountains,d,0.266382607,471.2786892,4.882167123,projected,mmol m-2 s-1
366,hakea leucoptera,broken hill,d,0.123856431,724.8311562,3.404995922,projected,mmol m-2 s-1
367,hakea leucoptera,broken hill,w,1.622559802,409.4140289,8.921312323,projected,mmol m-2 s-1
374,hakea dactyloides,blue mountains,d,0.034508451,175.4843058,1.897376427,projected,mmol m-2 s-1
383,hakea leucoptera,binya,w,1.626989412,611.3325895,9.939630693,projected,mmol m-2 s-1
393,hakea elliptica,albany,d,0.03256773,119.8709105,1.492224864,projected,mmol m-2 s-1
394,hakea varia,wanneroo,d,0.143630915,239.5582629,3.948625653,projected,mmol m-2 s-1
400,hakea varia,wanneroo,w,0.565474577,257.2598951,7.772864996,projected,mmol m-2 s-1
402,hakea prostrata,inland,w,0.12568482,152.366729,5.758768386,projected,mmol m-2 s-1
414,hakea leucoptera,toorale,w,0.325831574,623.887748,5.971726967,projected,mmol m-2 s-1
419,hakea dactyloides,blue mountains,d,0.023363158,240.8092447,1.284575356,projected,mmol m-2 s-1
420,hakea dactyloides,blue mountains,d,0.02536446,225.3456,1.394612806,projected,mmol m-2 s-1
422,hakea dactyloides,blue mountains,w,0.049696288,150.7112288,2.732448455,projected,mmol m-2 s-1
427,hakea leucoptera,binya,w,1.040916337,643.9837579,6.359183343,projected,mmol m-2 s-1
430,hakea salicifolia,saligna,w,0.151638835,145.4577521,8.337550348,projected,mmol m-2 s-1
433,hakea leucoptera,mildura,w,1.122399105,452.3699874,8.816116147,projected,mmol m-2 s-1
434,hakea leucoptera,mildura,w,2.201473332,441.1190479,8.645964032,projected,mmol m-2 s-1
438,hakea salicifolia,angustifolia,d,0.028034006,171.6415156,1.541392309,projected,mmol m-2 s-1
439,hakea elliptica,albany,w,0.091853499,132.0630619,4.208646905,projected,mmol m-2 s-1
440,hakea varia,wanneroo,d,0.149957422,241.2258935,4.122550648,projected,mmol m-2 s-1
441,hakea varia,wanneroo,d,0.164594034,276.851833,4.524932696,projected,mmol m-2 s-1
449,hakea prostrata,inland,d,0.02094118,199.5103369,1.151407852,projected,mmol m-2 s-1
