"species","gmin","datasource","citation"
"Sanguisorba minor",5.986,"schuster2016","Schuster (2016)"
"Sesleria albicans",4.7232,"schuster2016","Schuster (2016)"
"Teucrium chamaedrys",3.5424,"schuster2016","Schuster (2016)"
"Camellia sasanqua",1.77,"scoffoni2011","Scoffoni Rawls, et al. (2011)"
"Cercocarpus betuloides",3.99,"scoffoni2011","Scoffoni Rawls, et al. (2011)"
"Comarostaphylis diversifolia",2.87,"scoffoni2011","Scoffoni Rawls, et al. (2011)"
"Hedera canariensis",0.44,"scoffoni2011","Scoffoni Rawls, et al. (2011)"
"Helianthus annuus",18.3,"scoffoni2011","Scoffoni Rawls, et al. (2011)"
"Heteromeles arbutifolia",4.21,"scoffoni2011","Scoffoni Rawls, et al. (2011)"
"Lantana camara",12,"scoffoni2011","Scoffoni Rawls, et al. (2011)"
"Magnolia grandiflora",3.88,"scoffoni2011","Scoffoni Rawls, et al. (2011)"
"Platanus racemosa",6.61,"scoffoni2011","Scoffoni Rawls, et al. (2011)"
"Quercus agrifolia",1.72,"scoffoni2011","Scoffoni Rawls, et al. (2011)"
"Cajanus cajan",2.87,"sinclair1986","Sinclair and Ludlow (1986)"
"Glycine max",5.87666666666667,"sinclair1986","Sinclair and Ludlow (1986)"
"Vigna mungo",4.78333333333333,"sinclair1986","Sinclair and Ludlow (1986)"
"Vigna unguiculata",2.46,"sinclair1986","Sinclair and Ludlow (1986)"
"Digitaria californica",5.6621,"smith2006","Smith Fendenheim, et al. (2006)"
"Eragrostis lehmanniana",5.3382,"smith2006","Smith Fendenheim, et al. (2006)"
"Picea sitchensis",1.30285714285714,"vanGardingen1991",""
"Pinus sylvestris",1.15681233933162,"vanGardingen1991",""
"Juniperus oxycedrus",7.05467372114286,"vilagrosa2003","Vilagrosa Cortina, et al. (2003)"
"Pistacia lentiscus",12.229938272,"vilagrosa2003","Vilagrosa Cortina, et al. (2003)"
"Quercus coccifera",10.455246914,"vilagrosa2003","Vilagrosa Cortina, et al. (2003)"
"Pinus halepensis",2.03125,"villar-salvador1999","Villar-Salvador Ocaña, et al. (1999)"
"Glycine max",7.1,"walden-coleman2013","Walden-Coleman Rajcan, et al. (2013)"
"Acacia maidenii",4.2,"warren2011","Warren Aranda, et al. (2011)"
"Acacia mangium",4.75,"warren2011","Warren Aranda, et al. (2011)"
"Eucalyptus arenacea",3.85,"warren2011","Warren Aranda, et al. (2011)"
"Eucalyptus delegatensis",8.5,"warren2011","Warren Aranda, et al. (2011)"
"Eucalyptus nitens",5.15,"warren2011","Warren Aranda, et al. (2011)"
"Eucalyptus regnans",5.85,"warren2011","Warren Aranda, et al. (2011)"
"Eucalyptus socialis",3.55,"warren2011","Warren Aranda, et al. (2011)"
